question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
94189,57931,2020,Michigan,495,Tulchin Research,"","",Tulchin Research,340,Tulchin Research,B,400,lv,lv,Online,U.S. President,0,,4/14/19,4/18/19,,Bernard Sanders,true,DEM,,false,false,4/22/19 18:41,,https://tulchinresearch.com/wp-content/uploads/2019/04/Tulchin-Research-Memo-Sanders-Defeating-Trump-in-Industrial-Battleground-States-4-19-final.pdf,general,Sanders,Bernard Sanders,DEM,52.0
94189,57931,2020,Michigan,495,Tulchin Research,"","",Tulchin Research,340,Tulchin Research,B,400,lv,lv,Online,U.S. President,0,,4/14/19,4/18/19,,Bernard Sanders,true,DEM,,false,false,4/22/19 18:41,,https://tulchinresearch.com/wp-content/uploads/2019/04/Tulchin-Research-Memo-Sanders-Defeating-Trump-in-Industrial-Battleground-States-4-19-final.pdf,general,Trump,Donald Trump,REP,41.0
94190,57932,2020,Wisconsin,495,Tulchin Research,"","",Tulchin Research,340,Tulchin Research,B,400,lv,lv,Online,U.S. President,0,,4/14/19,4/18/19,,Bernard Sanders,true,DEM,,false,false,4/22/19 18:41,,https://tulchinresearch.com/wp-content/uploads/2019/04/Tulchin-Research-Memo-Sanders-Defeating-Trump-in-Industrial-Battleground-States-4-19-final.pdf,general,Sanders,Bernard Sanders,DEM,52.0
94190,57932,2020,Wisconsin,495,Tulchin Research,"","",Tulchin Research,340,Tulchin Research,B,400,lv,lv,Online,U.S. President,0,,4/14/19,4/18/19,,Bernard Sanders,true,DEM,,false,false,4/22/19 18:41,,https://tulchinresearch.com/wp-content/uploads/2019/04/Tulchin-Research-Memo-Sanders-Defeating-Trump-in-Industrial-Battleground-States-4-19-final.pdf,general,Trump,Donald Trump,REP,42.0
94191,57933,2020,Pennsylvania,495,Tulchin Research,"","",Tulchin Research,340,Tulchin Research,B,400,lv,lv,Online,U.S. President,0,,4/14/19,4/18/19,,Bernard Sanders,true,DEM,,false,false,4/22/19 18:41,,https://tulchinresearch.com/wp-content/uploads/2019/04/Tulchin-Research-Memo-Sanders-Defeating-Trump-in-Industrial-Battleground-States-4-19-final.pdf,general,Sanders,Bernard Sanders,DEM,51.0
94191,57933,2020,Pennsylvania,495,Tulchin Research,"","",Tulchin Research,340,Tulchin Research,B,400,lv,lv,Online,U.S. President,0,,4/14/19,4/18/19,,Bernard Sanders,true,DEM,,false,false,4/22/19 18:41,,https://tulchinresearch.com/wp-content/uploads/2019/04/Tulchin-Research-Memo-Sanders-Defeating-Trump-in-Industrial-Battleground-States-4-19-final.pdf,general,Trump,Donald Trump,REP,43.0
94101,57884,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,914,rv,rv,IVR/Online,U.S. President,0,,4/11/19,4/14/19,,"",false,,,false,false,4/15/19 08:01,,http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/,general,Biden,Joseph R. Biden Jr.,DEM,52.8
94101,57884,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,914,rv,rv,IVR/Online,U.S. President,0,,4/11/19,4/14/19,,"",false,,,false,false,4/15/19 08:01,,http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/,general,Trump,Donald Trump,REP,47.2
94102,57884,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,914,rv,rv,IVR/Online,U.S. President,0,,4/11/19,4/14/19,,"",false,,,false,false,4/15/19 08:02,,http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/,general,O'Rourke,Beto O'Rourke,DEM,51.2
94102,57884,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,914,rv,rv,IVR/Online,U.S. President,0,,4/11/19,4/14/19,,"",false,,,false,false,4/15/19 08:02,,http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/,general,Trump,Donald Trump,REP,48.8
94103,57884,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,914,rv,rv,IVR/Online,U.S. President,0,,4/11/19,4/14/19,,"",false,,,false,false,4/15/19 08:02,,http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/,general,Sanders,Bernard Sanders,DEM,51.5
94103,57884,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,914,rv,rv,IVR/Online,U.S. President,0,,4/11/19,4/14/19,,"",false,,,false,false,4/15/19 08:02,,http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/,general,Trump,Donald Trump,REP,48.5
94104,57884,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,914,rv,rv,IVR/Online,U.S. President,0,,4/11/19,4/14/19,,"",false,,,false,false,4/15/19 08:02,,http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/,general,Harris,Kamala D. Harris,DEM,50.3
94104,57884,2020,,1102,Emerson College,"","",Emerson College,88,Emerson College,B+,914,rv,rv,IVR/Online,U.S. President,0,,4/11/19,4/14/19,,"",false,,,false,false,4/15/19 08:02,,http://emersonpolling.com/2019/04/15/april-national-poll-bernie-takes-lead-for-democratic-nomination-mayor-pete-on-the-move/,general,Trump,Donald Trump,REP,49.7
