"","gdp","year"
"1",NA,"1960"
"2","2.3","1961"
"3","6.1","1962"
"4","4.4","1963"
"5","5.8","1964"
"6","6.4","1965"
"7","6.5","1966"
"8","2.5","1967"
"9","4.8","1968"
"10","3.1","1969"
"11","0.1860456","1970"
"12","3.295477","1971"
"13","5.263263","1972"
"14","5.643125","1973"
"15","-0.5171546","1974"
"16","-0.1976785","1975"
"17","5.38609","1976"
"18","4.608597","1977"
"19","5.561685","1978"
"20","3.175691","1979"
"21","-0.2445962","1980"
"22","2.59447","1981"
"23","-1.910891","1982"
"24","4.632457","1983"
"25","7.259087","1984"
"26","4.238738","1985"
"27","3.511614","1986"
"28","3.461748","1987"
"29","4.203972","1988"
"30","3.680524","1989"
"31","1.91937","1990"
"32","-0.07408453","1991"
"33","3.555396","1992"
"34","2.745857","1993"
"35","4.037643","1994"
"36","2.718976","1995"
"37","3.795881","1996"
"38","4.487026","1997"
"39","4.449911","1998"
"40","4.6852","1999"
"41","4.092176","2000"
"42","0.9759818","2001"
"43","1.786128","2002"
"44","2.806776","2003"
"45","3.785743","2004"
"46","3.345216","2005"
"47","2.666626","2006"
"48","1.77857","2007"
"49","-0.2916215","2008"
"50","-2.77553","2009"
"51","2.721577","2010"
"52","1.550836","2011"
"53","2.249546","2012"
"54","1.842081","2013"
"55","2.451973","2014"
"56","2.88091","2015"
"57","1.567215","2016"
"58","2.21701","2017"
"59",NA,"2018"
